,current_round,current_grad_times,current_time,current_loss
0,100,6400000,1694269339.258741,0.3862702213116471
1,200,12800000,1694269357.181346,0.37779479588489645
2,300,19200000,1694269375.038982,0.37298754498201936
3,400,25600000,1694269392.916137,0.37169452088688837
4,500,32000000,1694269410.7165608,0.37038312206858864
5,600,38400000,1694269428.8014898,0.3683572547667874
6,700,44800000,1694269446.952729,0.3670251009175259
7,800,51200000,1694269464.380231,0.3675072008439484
8,900,57600000,1694269482.3497112,0.3643832687724235
9,1000,64000000,1694269500.56783,0.36015096705771926
