,current_round,current_grad_times,current_time,current_loss
0,100,200000000,119.37055373191833,0.2424023705853924
1,200,400000000,224.60603523254395,0.21660527630298973
2,300,600000000,330.3577678203583,0.20178044270883602
3,400,800000000,435.21845722198486,0.19233497490560705
4,500,1000000000,540.1938195228577,0.18717292759124715
5,600,1200000000,644.9629793167114,0.1813823571513347
6,700,1400000000,749.9537124633789,0.17758980924068746
7,800,1600000000,854.8771948814392,0.17351744983396117
8,900,1800000000,959.5775194168091,0.17089362054506926
9,1000,2000000000,1064.4553790092468,0.16821164372740088
10,1100,2200000000,1169.373195886612,0.16578640514852871
11,1200,2400000000,1274.2120923995972,0.16380366720073208
12,1300,2600000000,1378.9472348690033,0.161531452049034
13,1400,2800000000,1483.6697092056274,0.16034235470279645
14,1500,3000000000,1588.6405565738678,0.15870837219636372
15,1600,3200000000,1693.2473783493042,0.15680572366475345
16,1700,3400000000,1798.1291451454163,0.15564474873182488
17,1800,3600000000,1903.0618903636932,0.15454635398826994
18,1900,3800000000,2007.88072514534,0.15322792971465007
19,2000,4000000000,2112.7794439792633,0.15221280598590167
20,2100,4200000000,2217.6046254634857,0.15140812798215111
21,2200,4400000000,2322.7566788196564,0.15041271813489265
22,2300,4600000000,2427.3442652225494,0.14916258545207747
23,2400,4800000000,2532.213012456894,0.1480916270191366
24,2500,5000000000,2637.15754032135,0.14722029216650787
25,2600,5200000000,2741.993704557419,0.146365920759702
26,2700,5400000000,2846.863131761551,0.14553820505061
27,2710,5419198000,2856.945375919342,0.1453797481553172
